Time (s)	TC1 (C)	TC2 (C)	TC3 (C)
0,000	20,751	22,057	23,019
1,000	31,327	26,628	23,589
2,000	73,295	48,036	29,512
3,000	94,385	64,676	35,436
4,000	111,364	81,811	40,481
5,000	124,815	98,711	45,578
6,000	137,005	114,724	51,141
7,000	147,076	129,884	56,627
8,000	159,881	145,477	61,962
9,000	172,334	161,165	67,166
10,000	181,917	178,115	72,665
11,000	190,545	194,725	77,895
12,000	197,463	211,199	83,673
13,000	204,200	225,692	89,650
14,000	211,213	238,355	94,917
15,000	217,960	249,673	100,629
16,000	225,409	259,822	106,034
17,000	232,121	269,243	110,983
18,000	237,280	278,250	116,345
19,000	242,864	286,796	121,360
20,000	249,295	296,125	126,135
21,000	255,722	304,783	130,135
22,000	263,005	312,234	133,424
23,000	269,415	319,435	135,709
24,000	276,380	325,718	137,149
25,000	283,552	331,990	137,689
26,000	291,883	338,373	139,402
27,000	299,352	343,269	142,894
28,000	305,880	348,862	146,474
29,000	311,132	354,309	149,985
30,000	316,536	360,115	153,937
31,000	321,296	366,019	157,588
32,000	325,343	371,104	161,423
33,000	329,966	376,648	164,898
34,000	334,426	382,368	168,127
35,000	338,156	387,091	171,173
36,000	334,292	385,865	171,019
37,000	327,346	383,075	170,404
38,000	321,636	380,106	170,087
39,000	317,003	376,904	169,850
40,000	312,963	373,288	169,622
41,000	309,429	369,408	169,540
42,000	306,263	365,369	169,432
43,000	303,210	361,015	169,422
44,000	300,414	356,518	169,267
45,000	297,797	351,951	169,146
46,000	295,287	347,357	169,001
47,000	292,953	342,900	168,856
48,000	290,545	338,412	168,575
49,000	288,238	334,014	168,238
50,000	285,971	329,744	167,880
51,000	283,733	325,544	167,485
52,000	281,512	321,468	167,036
53,000	279,377	317,534	166,587
54,000	277,208	313,684	166,051
55,000	275,141	309,962	165,510
56,000	273,055	306,295	164,962
57,000	270,959	302,659	164,332
58,000	268,899	299,160	163,663
59,000	266,931	295,705	162,981
60,000	264,927	292,310	162,269
61,000	262,943	289,004	161,527
62,000	261,015	285,713	160,760
63,000	259,125	282,573	160,046
64,000	257,211	279,355	159,253
65,000	255,336	276,354	158,450
66,000	253,387	273,375	157,678
67,000	251,616	270,471	156,902
68,000	249,779	267,594	156,100
69,000	248,007	264,866	155,359
70,000	246,147	262,138	154,538
71,000	244,377	259,476	153,761
72,000	242,654	256,865	152,900
73,000	240,878	254,366	152,117
74,000	239,138	251,934	151,318
75,000	237,459	249,547	150,534
76,000	235,738	247,112	149,737
77,000	234,077	244,862	148,975
78,000	232,499	242,688	148,264
79,000	230,860	240,520	147,528
80,000	229,228	238,323	146,772
81,000	227,597	236,237	146,015
82,000	226,020	234,187	145,264
83,000	224,469	232,186	144,543
84,000	222,851	230,181	143,818
85,000	221,274	228,238	143,164
86,000	219,707	226,323	142,410
87,000	218,177	224,401	141,786
88,000	216,668	222,531	141,089
89,000	215,124	220,653	140,480
90,000	213,577	218,846	139,845
91,000	212,088	216,969	139,150
92,000	210,571	215,285	138,563
93,000	209,061	213,478	137,922
94,000	207,576	211,700	137,265
95,000	206,048	209,966	136,677
96,000	204,576	208,251	136,110
97,000	203,115	206,609	135,486
98,000	201,720	204,948	134,964
99,000	200,275	203,304	134,391
100,000	198,808	201,709	133,852
101,000	197,365	200,107	133,268
102,000	195,999	198,556	132,694
103,000	194,630	196,980	132,181
104,000	193,191	195,388	131,585
105,000	191,861	193,942	131,104
106,000	190,521	192,479	130,554
107,000	189,139	191,065	130,104
108,000	187,809	189,555	129,539
109,000	186,538	188,119	129,073
110,000	185,248	186,720	128,571
111,000	183,901	185,343	128,004
112,000	182,620	184,007	127,594
113,000	181,338	182,703	127,107
114,000	180,071	181,374	126,574
115,000	178,896	179,989	126,154
116,000	177,570	178,718	125,660
117,000	176,387	177,505	125,263
118,000	175,140	176,260	124,843
119,000	173,952	175,053	124,437
120,000	172,743	173,859	123,968
121,000	171,539	172,635	123,525
122,000	170,446	171,453	123,124
123,000	169,289	170,324	122,699
124,000	168,102	169,153	122,310
125,000	166,983	167,985	121,905
126,000	165,843	166,909	121,487
127,000	164,726	165,803	121,043
128,000	163,620	164,778	120,725
129,000	162,552	163,694	120,373
130,000	161,499	162,674	119,979
131,000	160,391	161,577	119,600
132,000	159,274	160,562	119,190
133,000	158,245	159,545	118,843
134,000	157,214	158,538	118,458
135,000	156,174	157,573	118,050
136,000	155,110	156,578	117,703
137,000	154,105	155,594	117,387
138,000	153,109	154,660	116,980
139,000	152,066	153,626	116,646
140,000	151,140	152,736	116,297
141,000	150,047	151,823	115,933
142,000	149,092	150,910	115,627
143,000	148,176	149,939	115,280
144,000	147,204	149,010	114,911
145,000	146,250	148,166	114,574
146,000	145,423	147,330	114,234
147,000	144,491	146,410	113,948
148,000	143,528	145,487	113,529
149,000	142,605	144,679	113,221
150,000	141,761	143,762	112,930
151,000	140,819	143,036	112,628
152,000	139,942	142,179	112,296
153,000	139,041	141,350	111,973
154,000	138,164	140,537	111,610
155,000	137,321	139,732	111,356
156,000	136,487	138,824	110,997
157,000	135,688	137,953	110,748
158,000	134,739	137,099	110,392
159,000	133,936	136,236	110,041
160,000	133,112	135,454	109,756
161,000	132,281	134,521	109,441
162,000	131,481	133,702	109,168
163,000	130,692	132,951	108,930
164,000	129,896	132,147	108,564
165,000	129,081	131,443	108,293
166,000	128,383	130,775	108,046
167,000	127,590	130,146	107,776
168,000	126,817	129,415	107,410
169,000	126,030	128,869	107,178
170,000	125,328	128,197	106,961
171,000	124,514	127,492	106,635
172,000	123,827	126,860	106,419
173,000	123,147	126,238	106,164
174,000	122,403	125,551	105,840
175,000	121,696	124,971	105,666
176,000	120,988	124,324	105,361
177,000	120,227	123,747	105,100
178,000	119,609	123,168	104,890
179,000	118,911	122,614	104,670
180,000	118,222	121,982	104,357
181,000	117,551	121,416	104,113
182,000	116,865	120,865	103,846
183,000	116,123	120,280	103,638
184,000	115,552	119,728	103,439
