Time (s)	TC1 (C)	TC2 (C)	TC3 (C)
0,000	20,146	20,849	21,345
1,000	23,166	21,666	22,775
2,000	51,857	34,813	37,817
3,000	66,386	50,230	44,314
4,000	77,355	65,878	48,497
5,000	88,430	80,501	52,402
6,000	98,762	94,119	56,565
7,000	108,195	107,231	60,273
8,000	117,116	119,179	64,462
9,000	125,312	131,147	68,175
10,000	133,104	142,899	72,103
11,000	139,999	154,061	75,717
12,000	146,930	165,430	79,431
13,000	153,974	176,390	82,996
14,000	160,842	186,784	86,448
15,000	168,097	197,474	89,890
16,000	176,070	207,582	93,148
17,000	183,862	217,471	96,385
18,000	191,632	227,143	99,536
19,000	198,975	236,351	103,102
20,000	205,566	245,060	106,127
21,000	211,982	253,004	109,398
22,000	218,748	260,996	112,124
23,000	225,034	268,584	115,103
24,000	230,800	275,289	118,053
25,000	236,634	282,050	120,964
26,000	240,154	287,836	123,395
27,000	243,270	292,996	126,219
28,000	246,502	298,311	128,351
29,000	249,937	303,248	130,480
30,000	254,388	307,666	132,793
31,000	259,107	312,053	134,420
32,000	265,893	316,535	136,182
33,000	268,886	320,449	138,473
34,000	270,751	324,376	139,374
35,000	271,846	327,365	141,238
36,000	271,883	330,198	142,436
37,000	272,499	332,949	143,729
38,000	272,322	335,903	145,119
39,000	273,907	338,551	147,017
40,000	276,006	340,509	147,857
41,000	277,895	343,893	149,342
42,000	279,674	346,864	150,876
43,000	280,827	350,330	151,629
44,000	282,933	352,846	152,857
45,000	285,550	354,601	154,318
46,000	287,673	356,289	156,116
47,000	290,045	358,779	157,656
48,000	292,175	360,149	160,330
49,000	294,074	361,816	162,486
50,000	295,997	363,642	164,202
51,000	298,669	365,343	166,435
52,000	300,627	366,761	168,525
53,000	302,148	367,845	169,919
54,000	303,976	369,468	171,530
55,000	305,736	371,426	173,370
56,000	307,419	372,479	174,837
57,000	309,272	373,589	176,016
58,000	311,367	374,712	177,276
59,000	313,491	376,065	178,545
60,000	315,390	376,573	179,801
61,000	316,996	377,700	181,083
62,000	315,465	377,375	181,608
63,000	310,951	374,701	180,679
64,000	306,499	371,888	179,458
65,000	302,595	368,683	178,310
66,000	299,167	365,124	177,329
67,000	295,964	361,135	176,455
68,000	293,035	357,027	175,604
69,000	290,300	352,823	174,824
70,000	287,572	348,364	174,006
71,000	284,958	344,050	173,219
72,000	282,474	339,727	172,523
73,000	280,060	335,400	171,769
74,000	277,670	331,135	171,080
75,000	275,286	326,933	170,291
76,000	273,071	322,879	169,620
77,000	270,770	318,823	168,875
78,000	268,450	314,867	168,148
79,000	266,275	311,138	167,473
80,000	264,055	307,431	166,746
81,000	261,756	303,667	165,929
82,000	259,464	300,117	165,162
83,000	257,207	296,579	164,367
84,000	255,050	293,216	163,606
85,000	252,868	289,936	162,816
86,000	250,738	286,780	162,101
87,000	248,588	283,701	161,328
88,000	246,480	280,732	160,587
89,000	244,341	277,724	159,837
90,000	242,295	274,711	159,126
91,000	240,290	271,731	158,420
92,000	238,294	268,813	157,715
93,000	236,277	265,955	157,024
94,000	234,327	263,174	156,300
95,000	232,451	260,436	155,559
96,000	230,533	257,775	154,827
97,000	228,657	255,222	154,123
98,000	226,800	252,733	153,380
99,000	224,996	250,317	152,726
100,000	223,200	247,941	152,081
101,000	221,491	245,589	151,334
102,000	219,754	243,363	150,592
103,000	217,914	241,043	149,912
104,000	216,268	238,946	149,263
105,000	214,542	236,863	148,659
106,000	212,933	234,740	147,924
107,000	211,228	232,678	147,360
108,000	209,630	230,679	146,678
109,000	208,055	228,772	146,087
110,000	206,365	226,790	145,470
111,000	204,739	224,844	144,837
112,000	203,269	223,032	144,323
113,000	201,659	221,187	143,675
114,000	200,055	219,291	143,145
115,000	198,533	217,527	142,581
116,000	197,019	215,777	142,037
117,000	195,562	214,010	141,499
118,000	194,015	212,221	140,932
119,000	192,518	210,529	140,476
120,000	191,045	208,865	139,919
121,000	189,582	207,223	139,392
122,000	188,196	205,641	138,908
123,000	186,756	204,039	138,415
124,000	185,337	202,465	137,977
125,000	183,884	200,873	137,434
126,000	182,541	199,377	136,892
127,000	181,138	197,849	136,430
128,000	179,848	196,371	136,000
129,000	178,512	194,928	135,476
130,000	177,196	193,485	135,001
131,000	175,900	192,071	134,552
132,000	174,594	190,678	134,138
133,000	173,323	189,320	133,679
134,000	172,069	187,966	133,222
135,000	170,794	186,572	132,792
136,000	169,547	185,255	132,339
137,000	168,374	184,076	131,952
138,000	167,167	182,797	131,568
139,000	166,004	181,470	131,158
140,000	164,768	180,209	130,687
141,000	163,581	178,980	130,242
142,000	162,404	177,770	129,834
143,000	161,310	176,634	129,469
144,000	160,159	175,429	129,081
145,000	159,112	174,243	128,670
146,000	157,976	173,104	128,291
147,000	156,869	171,999	127,865
148,000	155,777	170,794	127,425
149,000	154,715	169,758	127,091
150,000	153,745	168,695	126,758
151,000	152,678	167,623	126,347
152,000	151,635	166,596	125,989
153,000	150,634	165,553	125,651
154,000	149,609	164,594	125,315
155,000	148,616	163,542	124,937
156,000	147,626	162,556	124,562
157,000	146,577	161,551	124,190
158,000	145,671	160,610	123,883
159,000	144,698	159,608	123,541
160,000	143,699	158,685	123,209
161,000	142,782	157,752	122,876
162,000	141,872	156,826	122,549
163,000	140,883	155,840	122,171
164,000	140,007	155,010	121,957
165,000	139,109	154,119	121,622
166,000	138,183	153,197	121,251
167,000	137,317	152,350	120,940
168,000	136,421	151,464	120,580
169,000	135,520	150,592	120,364
170,000	134,762	149,739	120,026
171,000	133,837	148,866	119,676
172,000	132,938	148,075	119,380
173,000	132,165	147,302	119,168
174,000	131,334	146,436	118,813
175,000	130,544	145,644	118,564
176,000	129,740	144,902	118,332
177,000	128,920	144,068	117,924
178,000	128,061	143,299	117,629
179,000	127,352	142,549	117,462
180,000	126,550	141,790	117,143
181,000	125,850	141,061	116,899
182,000	125,029	140,306	116,597
183,000	124,242	139,506	116,289
184,000	123,552	138,812	116,013
185,000	122,821	138,164	115,811
186,000	122,102	137,430	115,558
187,000	121,307	136,705	115,241
188,000	120,641	135,998	114,958
189,000	119,901	135,316	114,721
190,000	119,213	134,670	114,463
191,000	118,563	133,991	114,163
192,000	117,896	133,346	113,977
193,000	117,211	132,632	113,692
194,000	116,604	132,015	113,451
195,000	115,914	131,338	113,130
196,000	115,200	130,698	112,861
197,000	114,614	130,042	112,635
198,000	113,958	129,411	112,415
199,000	113,308	128,776	112,175
200,000	112,675	128,180	111,946
201,000	112,074	127,532	111,715
202,000	111,490	127,023	111,523
203,000	110,926	126,422	111,237
204,000	110,323	125,813	111,000
205,000	109,752	125,298	110,777
206,000	109,129	124,710	110,546
207,000	108,556	124,143	110,303
208,000	108,013	123,602	110,106
209,000	107,458	123,035	109,826
210,000	106,880	122,430	109,613
211,000	106,339	121,917	109,441
212,000	105,796	121,389	109,203
213,000	105,220	120,893	108,943
214,000	104,673	120,375	108,722
215,000	104,162	119,822	108,482
216,000	103,682	119,359	108,307
217,000	103,192	118,817	108,117
218,000	102,684	118,340	107,918
219,000	102,200	117,868	107,713
220,000	101,642	117,367	107,496
221,000	101,260	116,908	107,305
222,000	100,719	116,413	107,075
223,000	100,191	115,900	106,894
224,000	99,744	115,383	106,646
225,000	99,296	114,972	106,477
226,000	98,828	114,489	106,307
227,000	98,377	114,100	106,080
228,000	97,907	113,585	105,874
